TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,68,30,38,0.441,3284.0,114.6,116.8,116.9,118.7,-2.3,-1.9,0.61,1.97,18.2,0.312,0.709,0.502,0.13,0.537,0.575,103.1,101.33,84.44,6930,0.484,23,21,21,21,26,11,28,21,18,19,22,5,21,14,10,18,17,4,23
1610612738,Boston Celtics,69,55,14,0.797,3337.0,120.1,122.1,108.8,110.4,11.3,11.8,0.609,2.2,19.1,0.288,0.728,0.517,0.122,0.577,0.609,99.9,98.39,81.99,6836,0.556,3,1,1,1,5,1,2,1,21,3,15,13,7,4,2,1,2,18,1
1610612751,Brooklyn Nets,69,26,43,0.377,3332.0,110.9,113.2,113.5,115.7,-2.6,-2.6,0.64,2.03,18.9,0.29,0.713,0.495,0.132,0.533,0.563,99.8,97.86,81.55,6793,0.484,3,23,23,23,11,20,20,22,13,15,18,12,19,19,12,22,26,24,22
1610612766,Charlotte Hornets,69,17,52,0.246,3322.0,106.5,108.1,116.4,118.5,-9.8,-10.3,0.609,1.77,18.0,0.26,0.713,0.479,0.14,0.524,0.555,99.8,98.22,81.85,6801,0.445,3,27,27,27,17,29,26,30,20,26,25,26,18,29,21,28,28,20,29
1610612741,Chicago Bulls,69,34,35,0.493,3367.0,111.9,113.6,112.9,115.3,-1.0,-1.7,0.595,2.02,18.1,0.291,0.716,0.5,0.125,0.531,0.566,98.7,96.93,80.78,6805,0.49,3,19,19,19,2,19,16,20,26,16,24,11,17,16,6,24,24,29,20
1610612739,Cleveland Cavaliers,69,43,26,0.623,3337.0,113.3,115.1,108.6,111.0,4.7,4.1,0.663,2.07,19.9,0.277,0.724,0.505,0.136,0.557,0.586,99.6,97.83,81.53,6799,0.527,3,6,7,7,5,17,4,7,5,10,8,22,11,13,19,13,13,25,6
1610612742,Dallas Mavericks,69,40,29,0.58,3312.0,115.7,117.8,114.1,116.5,1.6,1.3,0.589,2.06,18.4,0.262,0.702,0.482,0.123,0.563,0.594,102.7,100.75,83.96,6955,0.501,3,11,12,12,22,6,21,16,28,12,21,25,24,27,4,8,8,9,18
1610612743,Denver Nuggets,69,48,21,0.696,3317.0,115.4,117.6,111.4,112.9,4.0,4.7,0.664,2.32,20.8,0.298,0.717,0.513,0.129,0.561,0.588,99.0,97.43,81.19,6729,0.529,3,2,3,3,19,7,10,5,4,2,2,7,15,7,9,10,11,27,4
1610612765,Detroit Pistons,69,12,57,0.174,3327.0,108.3,110.2,116.4,118.5,-8.1,-8.3,0.63,1.7,18.5,0.284,0.734,0.505,0.153,0.531,0.567,102.6,100.85,84.05,6988,0.453,3,29,29,29,14,26,27,28,16,27,20,15,3,12,28,25,22,7,27
1610612744,Golden State Warriors,68,36,32,0.529,3294.0,114.8,117.2,113.4,115.6,1.4,1.6,0.669,2.05,20.0,0.319,0.721,0.519,0.141,0.554,0.584,102.2,100.18,83.49,6880,0.507,23,18,17,18,24,8,18,14,3,13,7,3,12,3,22,14,14,11,14
1610612745,Houston Rockets,68,33,35,0.485,3289.0,110.9,113.0,110.1,112.2,0.8,0.9,0.595,1.92,17.7,0.292,0.727,0.507,0.128,0.527,0.563,101.6,99.62,83.02,6833,0.503,23,20,19,20,25,21,8,17,27,21,28,10,9,11,7,27,27,14,15
1610612754,Indiana Pacers,70,39,31,0.557,3365.0,117.2,119.8,115.5,117.8,1.7,2.0,0.655,2.32,20.9,0.283,0.7,0.491,0.128,0.576,0.604,104.4,102.33,85.27,7176,0.513,1,14,14,14,3,2,25,13,6,1,1,18,25,22,8,2,4,2,12
1610612746,LA Clippers,68,43,25,0.632,3269.0,116.9,118.7,112.3,114.7,4.5,4.0,0.604,1.97,18.8,0.284,0.704,0.502,0.133,0.566,0.604,99.7,97.93,81.61,6671,0.523,23,6,5,6,28,5,14,8,23,20,19,16,23,15,15,5,5,21,8
1610612747,Los Angeles Lakers,69,37,32,0.536,3337.0,113.4,115.3,113.4,115.5,0.1,-0.2,0.655,2.11,20.3,0.241,0.721,0.493,0.133,0.566,0.599,102.9,101.04,84.2,7027,0.515,3,17,17,17,5,15,17,19,7,7,4,29,13,21,16,6,7,6,9
1610612763,Memphis Grizzlies,70,23,47,0.329,3380.0,104.4,107.1,111.6,113.7,-7.2,-6.7,0.652,1.66,18.1,0.28,0.704,0.485,0.152,0.513,0.547,100.7,98.52,82.1,6932,0.46,1,24,25,25,1,30,11,25,10,28,23,20,22,26,27,29,29,17,26
1610612748,Miami Heat,69,38,31,0.551,3317.0,111.2,112.9,110.3,112.3,0.9,0.6,0.645,2.02,18.9,0.263,0.733,0.497,0.13,0.535,0.575,98.7,97.05,80.87,6705,0.502,3,15,14,15,19,23,9,18,12,17,17,24,4,18,11,20,18,28,16
1610612749,Milwaukee Bucks,69,44,25,0.638,3327.0,117.3,118.8,113.4,115.6,3.8,3.2,0.609,2.09,18.9,0.253,0.732,0.499,0.125,0.573,0.607,102.7,101.07,84.23,7008,0.514,3,5,5,5,14,4,19,9,19,8,16,27,6,17,5,4,3,5,11
1610612750,Minnesota Timberwolves,69,47,22,0.681,3337.0,113.0,114.6,106.2,108.4,6.8,6.2,0.638,1.86,19.1,0.279,0.727,0.512,0.144,0.558,0.593,99.6,97.91,81.59,6820,0.543,3,4,4,4,5,18,1,3,14,22,14,21,8,8,23,12,9,22,2
1610612740,New Orleans Pelicans,68,42,26,0.618,3269.0,115.5,117.1,109.6,111.6,5.8,5.5,0.634,2.07,19.5,0.288,0.72,0.508,0.133,0.559,0.591,100.5,99.0,82.5,6737,0.529,23,8,7,8,28,10,6,4,15,11,10,14,14,10,13,11,10,16,5
1610612752,New York Knicks,68,41,27,0.603,3264.0,113.3,116.5,110.6,112.0,2.7,4.5,0.584,1.78,17.5,0.334,0.732,0.529,0.14,0.534,0.57,98.2,96.26,80.22,6541,0.514,23,9,9,9,30,13,7,6,29,25,29,1,5,1,20,21,20,30,10
1610612760,Oklahoma City Thunder,68,48,20,0.706,3284.0,117.7,119.0,109.5,111.4,8.2,7.6,0.602,2.17,19.3,0.248,0.691,0.48,0.122,0.575,0.61,102.3,100.8,84.0,6895,0.539,23,2,2,2,26,3,5,2,24,4,11,28,28,28,3,3,1,8,3
1610612753,Orlando Magic,69,41,28,0.594,3332.0,110.8,112.9,108.6,110.9,2.1,2.0,0.606,1.65,18.0,0.3,0.735,0.517,0.152,0.542,0.578,99.5,97.51,81.25,6767,0.513,3,9,10,10,11,22,3,12,22,29,26,6,2,5,26,16,16,26,13
1610612755,Philadelphia 76ers,69,38,31,0.551,3322.0,113.7,116.3,111.9,113.8,1.8,2.4,0.596,2.08,17.9,0.292,0.698,0.491,0.12,0.529,0.573,100.3,98.36,81.97,6805,0.502,3,15,14,15,17,14,12,11,25,9,27,9,26,23,1,26,19,19,17
1610612756,Phoenix Suns,69,40,29,0.58,3332.0,115.0,117.1,112.2,114.4,2.8,2.6,0.629,1.79,19.1,0.297,0.709,0.514,0.15,0.564,0.602,101.2,99.32,82.77,6891,0.527,3,11,12,12,11,9,13,10,17,23,13,8,20,6,25,7,6,15,7
1610612757,Portland Trail Blazers,69,19,50,0.275,3352.0,106.0,108.7,114.5,116.8,-8.5,-8.1,0.58,1.51,16.6,0.316,0.69,0.493,0.153,0.508,0.546,100.1,97.9,81.59,6834,0.437,3,26,26,26,4,28,22,27,30,30,30,4,29,20,29,30,30,23,30
1610612758,Sacramento Kings,68,40,28,0.588,3299.0,114.4,116.8,113.7,115.2,0.7,1.6,0.652,2.14,20.0,0.284,0.745,0.508,0.133,0.562,0.588,101.8,100.09,83.41,6877,0.498,23,11,10,11,23,12,15,15,11,5,6,17,1,9,14,9,12,12,19
1610612759,San Antonio Spurs,69,15,54,0.217,3327.0,107.7,109.6,115.1,116.9,-7.4,-7.3,0.709,1.98,20.5,0.271,0.717,0.49,0.146,0.532,0.564,103.6,101.93,84.94,7066,0.476,3,28,28,28,14,27,23,26,1,18,3,23,16,24,24,23,25,3,25
1610612761,Toronto Raptors,69,23,46,0.333,3337.0,110.9,112.7,115.0,117.4,-4.1,-4.7,0.68,2.13,20.2,0.282,0.697,0.486,0.135,0.539,0.569,101.6,99.8,83.17,6937,0.482,3,24,24,24,5,24,24,24,2,6,5,19,27,25,18,17,21,13,24
1610612762,Utah Jazz,69,29,40,0.42,3337.0,113.0,115.3,117.2,119.2,-4.3,-3.9,0.654,1.79,19.2,0.329,0.724,0.526,0.153,0.542,0.582,102.5,100.57,83.81,7002,0.485,3,22,22,22,5,16,29,23,8,24,12,2,10,2,30,15,15,10,21
1610612764,Washington Wizards,69,11,58,0.159,3317.0,108.4,110.3,117.7,120.0,-9.3,-9.7,0.654,2.03,19.6,0.239,0.676,0.454,0.134,0.537,0.566,105.1,103.22,86.02,7123,0.45,3,30,30,30,19,25,30,29,9,14,9,30,30,30,17,18,23,1,28
